City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
110,Yellowknife,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
111,Vaini,-21.2,-175.2,77.16,83,20,8.05,TO,few clouds
112,Fairbanks,22.0752,-159.319,80.92,79,75,5.01,US,light rain
113,Port Elgin,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
114,Butajira,9.5046,35.5019,59.58,94,100,1.3,ET,overcast clouds
115,Hamilton,39.1834,-84.5333,69.22,85,1,5.75,US,clear sky
116,Abu Samrah,35.3029,37.1841,77.61,64,0,16.08,SY,clear sky
117,Mount Gambier,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
118,Iranshahr,38.6066,44.9883,85.32,39,0,4.61,IR,clear sky
119,Hermanus,-34.4187,19.2345,44.91,69,44,10.33,ZA,light rain
120,Palabuhanratu,3.3,117.6333,83.7,70,20,4.61,ID,few clouds
121,Eureka,22.0752,-159.319,80.92,79,75,5.01,US,light rain
122,Kuche,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
123,Tasiilaq,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
124,Illela,13.7292,5.2975,80.91,65,50,10.85,NG,scattered clouds
125,Cidreira,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
126,Jomalig,10.1815,119.236,89.19,55,91,12.06,PH,overcast clouds
127,Barrow,22.0752,-159.319,80.92,79,75,5.01,US,light rain
128,Kavaratti,34.1667,77.5833,62.13,48,30,5.55,IN,scattered clouds
129,Guerrero Negro,27.9769,-114.0611,69.71,84,54,11.39,MX,broken clouds
130,Kavieng,-10.6167,150.6667,78.49,72,91,13.38,PG,overcast clouds
131,Provideniya,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
132,Coquimbo,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
133,Bad Salzdetfurth,52.0578,10.0058,63.34,94,73,0.83,DE,broken clouds
134,Barcelos,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
135,Potsdam,22.0752,-159.319,80.92,79,75,5.01,US,light rain
136,Berlevag,70.0311,20.9714,50.0,82,100,30.2,NO,light rain
137,Los Llanos De Aridane,43.4647,-3.8044,66.6,95,75,1.01,ES,broken clouds
138,Lebu,-53.15,-70.9167,33.91,100,75,4.61,CL,broken clouds
139,Leningradskiy,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
140,Khatanga,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
141,Naze,34.0667,134.15,90.01,45,98,6.82,JP,overcast clouds
142,Abancay,-17.6394,-71.3375,59.4,84,17,3.42,PE,few clouds
143,Sur,22.5667,59.5289,97.93,45,67,5.12,OM,broken clouds
144,Lagoa,37.7167,-25.4333,66.61,82,86,6.51,PT,overcast clouds
145,Saint Anthony,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
146,Zhaotong,30.5092,117.0506,90.05,53,61,8.86,CN,broken clouds
147,Ilulissat,60.9167,-46.05,46.62,94,54,4.41,GL,broken clouds
148,Marsh Harbour,21.4612,-71.1419,81.18,83,11,18.99,TC,few clouds
149,Lakes Entrance,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
150,Mount Isa,42.6001,-73.9662,61.61,94,1,4.21,US,clear sky
151,Barentu,15.1139,37.5928,70.36,76,95,7.27,ER,overcast clouds
152,Belushya Guba,62.0833,32.35,56.98,61,100,9.51,RU,overcast clouds
153,Cavalcante,-5.1989,-35.4608,72.5,88,16,13.67,BR,few clouds
154,Fort Nelson,70.4692,-68.5914,37.63,100,90,2.3,CA,light rain
155,Marv Dasht,38.6066,44.9883,85.32,39,0,4.61,IR,clear sky
