City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Cape Town,ZA,2021-07-19 01:39:12,-33.9258,18.4232,57.11,91,0,5.75
101,Dali,CN,2021-07-19 01:39:12,25.7,100.1833,69.67,78,99,2.46
102,Clyde River,CA,2021-07-19 01:39:13,70.4692,-68.5914,37.63,81,90,17.27
103,Tilichiki,RU,2021-07-19 01:39:13,60.4667,166.1,59.95,66,100,2.19
104,Cidreira,BR,2021-07-19 01:39:13,-30.1811,-50.2056,50.23,64,96,30.24
105,Qaanaaq,GL,2021-07-19 01:39:13,77.484,-69.3632,31.75,87,24,2.91
106,Longyearbyen,SJ,2021-07-19 01:39:14,78.2186,15.6401,39.04,87,90,5.75
107,Saint-Philippe,RE,2021-07-19 01:39:14,-21.3585,55.7679,67.55,75,40,12.01
108,Bathsheba,BB,2021-07-19 01:39:14,13.2167,-59.5167,83.01,78,40,18.41
109,Pandan,PH,2021-07-19 01:39:14,14.0453,124.1694,86.14,70,100,10.31
110,Tiznit,MA,2021-07-19 01:39:14,29.5833,-9.5,77.65,28,0,4.76
111,Sao Joao Da Barra,BR,2021-07-19 01:39:15,-21.6403,-41.0511,70.48,89,73,12.57
112,Port Keats,AU,2021-07-19 01:39:15,-14.25,129.55,86.13,24,99,8.3
113,Pevek,RU,2021-07-19 01:38:01,69.7008,170.3133,39.2,88,100,7.65
114,Nemuro,JP,2021-07-19 01:39:15,43.3236,145.575,84.63,90,24,1.54
115,Georgetown,MY,2021-07-19 01:39:16,5.4112,100.3354,84.13,81,20,3.0
116,Lebu,CL,2021-07-19 01:39:16,-37.6167,-73.65,49.53,75,61,17.94
117,Vila Franca Do Campo,PT,2021-07-19 01:39:16,37.7167,-25.4333,68.41,82,2,6.58
118,Krumbach,DE,2021-07-19 01:39:16,48.2418,10.3632,60.13,99,0,3.98
119,Shagonar,RU,2021-07-19 01:39:17,51.5333,92.8,65.44,59,99,1.21
120,Hobart,AU,2021-07-19 01:39:17,-42.8794,147.3294,53.26,73,75,1.99
121,Vardo,NO,2021-07-19 01:39:17,70.3705,31.1107,47.3,85,100,20.11
122,Lompoc,US,2021-07-19 01:39:17,34.6391,-120.4579,85.01,72,1,5.01
123,Comodoro Rivadavia,AR,2021-07-19 01:39:18,-45.8667,-67.5,57.06,24,0,24.16
124,Birao,CF,2021-07-19 01:39:18,10.2849,22.7882,70.88,94,100,4.36
125,Lasa,IT,2021-07-19 01:39:18,46.6166,10.7002,65.28,90,27,6.38
126,Rocha,UY,2021-07-19 01:39:18,-34.4833,-54.3333,48.97,85,100,25.93
127,Cayenne,GF,2021-07-19 01:39:18,4.9333,-52.3333,82.09,83,0,0.0
128,Pisco,PE,2021-07-19 01:39:19,-13.7,-76.2167,62.65,82,0,14.97
129,Lubsko,PL,2021-07-19 01:39:19,51.7847,14.972,66.04,89,99,6.15
130,Camana,PE,2021-07-19 01:39:19,-16.6228,-72.7111,60.28,87,65,5.32
131,Havoysund,NO,2021-07-19 01:39:19,70.9963,24.6622,47.28,78,83,22.59
132,Broome,US,2021-07-19 01:39:20,42.2506,-75.833,67.6,94,90,1.99
133,Lorengau,PG,2021-07-19 01:39:20,-2.0226,147.2712,83.82,70,87,3.69
134,Siilinjarvi,FI,2021-07-19 01:39:20,63.0833,27.6667,55.42,76,0,6.91
135,Skierniewice,PL,2021-07-19 01:39:20,51.9548,20.1584,67.75,96,3,6.82
136,Thompson,CA,2021-07-19 01:39:20,55.7435,-97.8558,51.96,87,75,4.61
137,Hermanus,ZA,2021-07-19 01:39:21,-34.4187,19.2345,56.89,81,94,7.47
138,Kitami,JP,2021-07-19 01:39:21,43.8031,143.8908,83.66,60,13,6.15
139,Smithers,CA,2021-07-19 01:39:21,54.7804,-127.1743,62.92,67,40,5.75
140,Shangrao,CN,2021-07-19 01:39:21,28.4532,117.9686,85.1,71,79,6.08
141,Coquimbo,CL,2021-07-19 01:39:04,-29.9533,-71.3436,51.53,93,75,2.3
142,Nelson Bay,AU,2021-07-19 01:39:21,-32.7167,152.15,58.1,59,99,1.99
143,Kuala Terengganu,MY,2021-07-19 01:39:22,5.3302,103.1408,80.55,89,20,4.61
144,Benguela,AO,2021-07-19 01:39:22,-12.5763,13.4055,68.18,86,82,4.83
145,Marzuq,YE,2021-07-19 01:39:22,14.4,46.4667,77.79,58,100,0.56
146,Yellowknife,CA,2021-07-19 01:39:22,62.456,-114.3525,66.29,42,1,9.22
147,Aklavik,CA,2021-07-19 01:39:22,68.2191,-135.0107,61.52,75,100,3.24
148,Nizhniy Tsasuchey,RU,2021-07-19 01:39:23,50.5167,115.1333,73.13,58,64,7.87
149,Tashara,RU,2021-07-19 01:39:23,55.5195,83.5094,57.24,89,54,4.74
150,Kutum,SD,2021-07-19 01:39:23,14.2,24.6667,71.24,65,80,7.27
151,Port Alfred,ZA,2021-07-19 01:39:23,-33.5906,26.891,62.26,30,0,11.18
152,Bria,CF,2021-07-19 01:39:23,6.5423,21.9863,67.6,98,97,3.47
153,Mount Gambier,AU,2021-07-19 01:39:24,-37.8333,140.7667,53.51,87,75,11.5
154,Estacion Coahuila,MX,2021-07-19 01:39:24,32.1939,-115.0017,106.34,39,0,15.43
155,Murdochville,CA,2021-07-19 01:39:24,48.9583,-65.5006,58.08,86,100,3.78
156,Port Lincoln,AU,2021-07-19 01:39:24,-34.7333,135.8667,58.37,68,49,19.82
157,Kamaishi,JP,2021-07-19 01:39:24,39.2667,141.8833,88.75,67,12,4.56
158,Saint George,US,2021-07-19 01:39:25,37.1041,-113.5841,90.19,43,1,1.99
159,Ribeira Grande,PT,2021-07-19 01:39:25,38.5167,-28.7,69.12,77,11,11.9
160,Barcelos,PT,2021-07-19 01:39:25,41.5388,-8.6151,66.29,95,49,2.62
161,Tasiilaq,GL,2021-07-19 01:39:25,65.6145,-37.6368,42.96,81,77,5.79
162,San Luis,AR,2021-07-19 01:38:33,-33.295,-66.3356,42.39,31,3,6.15
163,Chifeng,CN,2021-07-19 01:38:37,42.2683,118.9636,82.36,58,12,6.8
164,Tyukhtet,RU,2021-07-19 01:39:26,56.5389,89.3011,59.56,95,96,6.38
165,Lagoa,PT,2021-07-19 01:39:26,39.05,-27.9833,67.77,75,53,17.0
166,Nenjiang,CN,2021-07-19 01:39:26,49.1833,125.2167,78.28,88,99,10.87
167,Ulaanbaatar,MN,2021-07-19 01:36:42,47.9077,106.8832,71.73,56,40,13.42
168,Silver City,US,2021-07-19 01:39:27,32.7701,-108.2803,71.67,80,100,4.0
169,Port Hedland,AU,2021-07-19 01:39:27,-20.3167,118.5667,75.25,22,29,16.11
